# LAMMPS data file written by OVITO Basic 3.7.5
4850 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 63.546  # Cu
2 1.00794  # H
3 12.0107  # C
4 15.9994  # O

Atoms  # charge

324 1 0.0 45.1703421 33.8586579 26.343
325 1 0.0 45.1703421 47.0301579 39.5145
326 1 0.0 31.9988421 33.8586579 39.5145
327 1 0.0 31.9988421 47.0301579 26.343
328 1 0.0 33.8586579 45.1703421 26.343
329 1 0.0 33.8586579 31.9988421 39.5145
330 1 0.0 47.0301579 45.1703421 39.5145
331 1 0.0 47.0301579 31.9988421 26.343
332 1 0.0 26.343 33.8586579 33.8586579
333 1 0.0 26.343 47.0301579 47.0301579
334 1 0.0 39.5145 33.8586579 47.0301579
335 1 0.0 39.5145 47.0301579 33.8586579
336 1 0.0 26.343 45.1703421 45.1703421
337 1 0.0 26.343 31.9988421 31.9988421
338 1 0.0 39.5145 45.1703421 31.9988421
339 1 0.0 39.5145 31.9988421 45.1703421
340 1 0.0 26.343 45.1703421 33.8586579
341 1 0.0 26.343 31.9988421 47.0301579
342 1 0.0 39.5145 45.1703421 47.0301579
343 1 0.0 26.343 33.8586579 45.1703421
344 1 0.0 26.343 47.0301579 31.9988421
345 1 0.0 39.5145 47.0301579 45.1703421
346 1 0.0 33.8586579 26.343 33.8586579
347 1 0.0 33.8586579 39.5145 47.0301579
348 1 0.0 47.0301579 26.343 47.0301579
349 1 0.0 47.0301579 39.5145 33.8586579
350 1 0.0 45.1703421 26.343 45.1703421
351 1 0.0 45.1703421 39.5145 31.9988421
352 1 0.0 31.9988421 26.343 31.9988421
353 1 0.0 31.9988421 39.5145 45.1703421
354 1 0.0 33.8586579 39.5145 31.9988421
355 1 0.0 47.0301579 26.343 31.9988421
356 1 0.0 47.0301579 39.5145 45.1703421
357 1 0.0 45.1703421 26.343 33.8586579
358 1 0.0 45.1703421 39.5145 47.0301579
359 1 0.0 31.9988421 39.5145 33.8586579
360 2 0.0 19.177704 3.1558914 3.1558914
361 2 0.0 19.177704 16.3273914 16.3273914
362 2 0.0 20.336796 3.1558914 10.0156086
363 2 0.0 20.336796 16.3273914 23.1871086
364 2 0.0 7.165296 3.1558914 23.1871086
365 2 0.0 6.006204 10.0156086 3.1558914
366 2 0.0 6.006204 23.1871086 16.3273914
367 2 0.0 19.177704 10.0156086 16.3273914
368 2 0.0 20.336796 16.3273914 3.1558914
369 2 0.0 7.165296 16.3273914 16.3273914
370 2 0.0 6.006204 16.3273914 23.1871086
371 2 0.0 19.177704 16.3273914 10.0156086
372 2 0.0 20.336796 10.0156086 23.1871086
373 2 0.0 7.165296 10.0156086 10.0156086
374 2 0.0 7.165296 23.1871086 23.1871086
375 2 0.0 10.0156086 23.1871086 20.336796
376 2 0.0 10.0156086 10.0156086 7.165296
377 2 0.0 23.1871086 23.1871086 7.165296
378 2 0.0 16.3273914 23.1871086 6.006204
379 2 0.0 16.3273914 10.0156086 19.177704
380 2 0.0 16.3273914 3.1558914 20.336796
381 2 0.0 16.3273914 16.3273914 7.165296
382 2 0.0 10.0156086 3.1558914 6.006204
383 2 0.0 10.0156086 16.3273914 19.177704
384 2 0.0 23.1871086 16.3273914 6.006204
385 2 0.0 23.1871086 6.006204 16.3273914
386 2 0.0 23.1871086 19.177704 3.1558914
387 2 0.0 23.1871086 20.336796 10.0156086
388 2 0.0 23.1871086 7.165296 23.1871086
389 2 0.0 3.1558914 6.006204 10.0156086
390 2 0.0 3.1558914 19.177704 23.1871086
391 2 0.0 16.3273914 6.006204 23.1871086
392 2 0.0 3.1558914 20.336796 16.3273914
393 2 0.0 3.1558914 7.165296 3.1558914
394 2 0.0 16.3273914 7.165296 16.3273914
395 2 0.0 16.3273914 20.336796 3.1558914
396 2 0.0 10.0156086 6.006204 3.1558914
397 2 0.0 10.0156086 19.177704 16.3273914
398 2 0.0 10.0156086 20.336796 23.1871086
399 2 0.0 10.0156086 7.165296 10.0156086
400 2 0.0 16.3273914 19.177704 10.0156086
401 2 0.0 3.1558914 16.3273914 20.336796
402 2 0.0 3.1558914 3.1558914 7.165296
403 2 0.0 3.1558914 10.0156086 6.006204
404 2 0.0 3.1558914 23.1871086 19.177704
405 2 0.0 23.1871086 10.0156086 20.336796
406 2 0.0 23.1871086 3.1558914 19.177704
407 2 0.0 20.336796 3.1558914 16.3273914
408 2 0.0 7.165296 3.1558914 3.1558914
409 2 0.0 6.006204 3.1558914 10.0156086
410 2 0.0 19.177704 3.1558914 23.1871086
411 2 0.0 20.336796 23.1871086 10.0156086
412 2 0.0 19.177704 23.1871086 3.1558914
413 2 0.0 7.165296 16.3273914 10.0156086
414 2 0.0 6.006204 10.0156086 23.1871086
415 2 0.0 19.177704 10.0156086 10.0156086
416 2 0.0 20.336796 10.0156086 3.1558914
417 2 0.0 7.165296 10.0156086 16.3273914
418 2 0.0 6.006204 16.3273914 3.1558914
419 2 0.0 16.3273914 3.1558914 6.006204
420 2 0.0 10.0156086 3.1558914 20.336796
421 2 0.0 10.0156086 16.3273914 7.165296
422 2 0.0 10.0156086 23.1871086 6.006204
423 2 0.0 10.0156086 10.0156086 19.177704
424 2 0.0 16.3273914 10.0156086 7.165296
425 2 0.0 3.1558914 20.336796 10.0156086
426 2 0.0 3.1558914 7.165296 23.1871086
427 2 0.0 3.1558914 6.006204 16.3273914
428 2 0.0 3.1558914 19.177704 3.1558914
429 2 0.0 23.1871086 7.165296 3.1558914
430 2 0.0 23.1871086 6.006204 10.0156086
431 2 0.0 36.3586086 6.006204 23.1871086
432 2 0.0 36.3586086 19.177704 10.0156086
433 2 0.0 49.5301086 19.177704 23.1871086
434 2 0.0 42.6703914 20.336796 23.1871086
435 2 0.0 42.6703914 7.165296 10.0156086
436 2 0.0 42.6703914 6.006204 3.1558914
437 2 0.0 42.6703914 19.177704 16.3273914
438 2 0.0 36.3586086 20.336796 3.1558914
439 2 0.0 36.3586086 7.165296 16.3273914
440 2 0.0 49.5301086 20.336796 16.3273914
441 2 0.0 49.5301086 10.0156086 6.006204
442 2 0.0 49.5301086 23.1871086 19.177704
443 2 0.0 49.5301086 16.3273914 20.336796
444 2 0.0 49.5301086 3.1558914 7.165296
445 2 0.0 29.4988914 16.3273914 6.006204
