# LAMMPS data file written by OVITO Basic 3.7.5
4992 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 15.9994  # O
2 63.546  # Cu
3 12.0107  # C
4 1.00794  # H

Atoms  # charge

215 2 0.0 13.1715 18.8273421 5.6558421
216 2 0.0 13.1715 5.6558421 18.8273421
217 2 0.0 0.0 18.8273421 7.5156579
218 2 0.0 0.0 5.6558421 20.6871579
219 2 0.0 13.1715 18.8273421 20.6871579
220 2 0.0 13.1715 5.6558421 7.5156579
221 2 0.0 0.0 7.5156579 18.8273421
222 2 0.0 0.0 20.6871579 5.6558421
223 2 0.0 13.1715 7.5156579 5.6558421
224 2 0.0 13.1715 20.6871579 18.8273421
225 2 0.0 7.5156579 0.0 7.5156579
226 2 0.0 7.5156579 13.1715 20.6871579
227 2 0.0 20.6871579 0.0 20.6871579
228 2 0.0 20.6871579 13.1715 7.5156579
229 2 0.0 18.8273421 0.0 18.8273421
230 2 0.0 18.8273421 13.1715 5.6558421
231 2 0.0 5.6558421 0.0 5.6558421
232 2 0.0 5.6558421 13.1715 18.8273421
233 2 0.0 7.5156579 0.0 18.8273421
234 2 0.0 7.5156579 13.1715 5.6558421
235 2 0.0 20.6871579 0.0 5.6558421
236 2 0.0 20.6871579 13.1715 18.8273421
237 2 0.0 18.8273421 0.0 7.5156579
238 2 0.0 18.8273421 13.1715 20.6871579
239 2 0.0 5.6558421 0.0 20.6871579
240 2 0.0 5.6558421 13.1715 7.5156579
241 3 0.0 7.8186024 5.3528976 24.5332359
242 3 0.0 8.482446 4.689054 23.366241
243 3 0.0 7.8186024 18.5243976 11.3617359
244 3 0.0 8.482446 17.860554 10.194741
245 3 0.0 18.5243976 20.9901024 24.5332359
246 3 0.0 17.860554 21.653946 23.366241
247 3 0.0 18.5243976 7.8186024 11.3617359
248 3 0.0 17.860554 8.482446 10.194741
249 3 0.0 5.3528976 7.8186024 24.5332359
250 3 0.0 4.689054 8.482446 23.366241
251 3 0.0 18.5243976 5.3528976 1.8097641
252 3 0.0 17.860554 4.689054 2.976759
253 3 0.0 18.5243976 18.5243976 14.9812641
254 3 0.0 17.860554 17.860554 16.148259
255 3 0.0 5.3528976 5.3528976 14.9812641
256 3 0.0 4.689054 4.689054 16.148259
257 3 0.0 7.8186024 20.9901024 1.8097641
258 3 0.0 8.482446 21.653946 2.976759
259 3 0.0 7.8186024 7.8186024 14.9812641
260 3 0.0 8.482446 8.482446 16.148259
261 3 0.0 24.5332359 7.8186024 5.3528976
262 3 0.0 23.366241 8.482446 4.689054
263 3 0.0 11.3617359 7.8186024 18.5243976
264 3 0.0 10.194741 8.482446 17.860554
265 3 0.0 24.5332359 18.5243976 20.9901024
266 3 0.0 23.366241 17.860554 21.653946
267 3 0.0 24.5332359 5.3528976 7.8186024
268 3 0.0 23.366241 4.689054 8.482446
269 3 0.0 11.3617359 18.5243976 7.8186024
270 3 0.0 10.194741 17.860554 8.482446
271 3 0.0 1.8097641 18.5243976 5.3528976
272 3 0.0 2.976759 17.860554 4.689054
273 3 0.0 14.9812641 18.5243976 18.5243976
274 3 0.0 16.148259 17.860554 17.860554
275 3 0.0 14.9812641 5.3528976 5.3528976
276 3 0.0 16.148259 4.689054 4.689054
277 3 0.0 1.8097641 7.8186024 20.9901024
278 3 0.0 2.976759 8.482446 21.653946
279 3 0.0 14.9812641 7.8186024 7.8186024
280 3 0.0 16.148259 8.482446 8.482446
281 3 0.0 5.3528976 24.5332359 7.8186024
282 3 0.0 4.689054 23.366241 8.482446
283 3 0.0 5.3528976 11.3617359 20.9901024
284 3 0.0 4.689054 10.194741 21.653946
285 3 0.0 20.9901024 24.5332359 18.5243976
286 3 0.0 21.653946 23.366241 17.860554
287 3 0.0 20.9901024 11.3617359 5.3528976
288 3 0.0 21.653946 10.194741 4.689054
289 3 0.0 7.8186024 24.5332359 5.3528976
290 3 0.0 8.482446 23.366241 4.689054
291 3 0.0 5.3528976 1.8097641 18.5243976
